OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu697,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,1.0000,Mogibacterium,1.0000
Otu698,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9400,Ruminococcus,0.3600
Otu699,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9900,Paludicola,0.6800
Otu700,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.9900
Otu701,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Negativibacillus,0.9400
Otu702,Bacteria,1.0000,Tenericutes,0.7200,Mollicutes,0.7200,Acholeplasmatales,0.6800,Acholeplasmataceae,0.6800,Acholeplasma,0.6800
Otu703,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9900,Frisingicoccus,0.3000
Otu704,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Rikenellaceae,1.0000,Alistipes,1.0000
Otu705,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Anaeromassilibacillus,1.0000
Otu706,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9600,Bacteroidales,0.9600,Muribaculaceae,0.8200,Duncaniella,0.5200
Otu707,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Negativibacillus,1.0000
Otu708,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Fournierella,1.0000
Otu709,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9600,Ruminococcus2,0.2900
Otu710,Bacteria,1.0000,Fusobacteria,1.0000,Fusobacteriia,1.0000,Fusobacteriales,1.0000,Fusobacteriaceae,1.0000,Fusobacterium,1.0000
Otu711,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Eggerthellales,0.9100,Eggerthellaceae,0.9100,Adlercreutzia,0.4300
Otu712,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Longicatena,0.6200
Otu713,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,1.0000,Burkholderiales,0.9000,Comamonadaceae,0.4300,Sutterella,0.2100
Otu714,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.8800,Enterocloster,0.3300
Otu715,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,0.9600,Ihubacter,0.9200
Otu716,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,1.0000
Otu717,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Faecalicoccus,0.6500
Otu718,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9000,Anaerotruncus,0.3700
Otu719,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Mediterraneibacter,1.0000
Otu720,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiales_Incertae_Sedis_XIII,0.9400,Ihubacter,0.8100
